date,seasonality,trend,noise,sales_amt
2015-01-01,0.0,0,-3828.021512688916,16171.978487311084
2015-01-02,86.06678077917343,10,4184.454780904241,24280.521561683414
2015-01-03,172.1080581137287,20,-1211.678127322356,18980.42993079137
2015-01-04,258.0983361162688,30,-147.8267660329911,20140.271570083278
2015-01-05,344.0121340115993,40,1430.0441545544866,21814.056288566084
2015-01-06,429.82399368723236,50,5510.5903364672895,25990.414330154523
2015-01-07,515.5084872371742,60,-1471.3577428981641,19104.15074433901
2015-01-08,601.0402244967635,70,-1180.8261489620118,19490.21407553475
2015-01-09,686.393860566324,80,-749.655054810825,20016.7388057555
2015-01-10,771.5441033214058,90,-464.7047046185335,20396.839398702872
2015-01-11,856.465720907388,100,803.3617156415223,21759.827436548912
2015-01-12,941.1335492162209,110,-1159.0079121676151,19892.125637048608
2015-01-13,1025.522499343096,120,-593.0487548744269,20552.47374446867
2015-01-14,1109.6075650208277,130,-128.83633088714137,21110.77123413369
2015-01-15,1193.3638300297505,140,627.6240824264955,21960.987912456247
2015-01-16,1276.7664755809349,150,1714.1728947036413,23140.939370284577
2015-01-17,1359.7907876705276,160,-466.0049284577686,21053.78585921276
2015-01-18,1442.412164403045,170,2370.1972229215057,23982.60938732455
2015-01-19,1524.6061232814454,180,630.1222804509138,22334.72840373236
2015-01-20,1606.3483084618222,190,230.2986365519841,22026.646945013807
2015-01-21,1687.6144979705666,200,-400.3668955394219,21487.247602431147
2015-01-22,1768.380610881858,210,-666.9564706637309,21311.424140218125
2015-01-23,1848.6227144533655,220,248.97349971640097,22317.596214169767
2015-01-24,1928.3170312180353,230,77.8844439822188,22236.201475200254
2015-01-25,2007.439946029865,240,-2104.064516932475,20143.375429097392
2015-01-26,2085.968013061584,250,-748.2574439324665,21587.710569129118
2015-01-27,2163.877962752156,260,-1381.7751413578171,21042.102821394335
2015-01-28,2241.1467087020533,270,1850.454734444955,24361.60144314701
2015-01-29,2317.7513545142547,280,357.1522071787437,22954.903561692998
2015-01-30,2393.6692005789423,290,3093.851624964116,25777.520825543055
2015-01-31,2468.877750799886,300,415.84327748858624,23184.721028288473
2015-02-01,2543.354719260522,310,2449.8204839438886,25303.17520320441
2015-02-02,2617.0780368277515,320,228.7057797632681,23165.78381659102
2015-02-03,2690.025857691498,330,1416.7044259626634,24436.73028365416
2015-02-04,2762.176565838098,340,67.76790744897973,23169.944473287076
2015-02-05,2833.508781455588,350,-937.0162090939308,22246.492572361658
2015-02-06,2904.0013672690047,360,-2895.231102711483,20368.77026455752
2015-02-07,2973.6334348038167,370,1843.1326215751715,25186.76605637899
2015-02-08,3042.3843505756304,380,-2668.9560451415277,20753.428305434103
2015-02-09,3110.2337422043374,390,809.6653427219468,24309.899084926285
2015-02-10,3177.161504450887,400,-2305.5882813208204,21271.573223130068
2015-02-11,3243.147805174907,410,1309.858508525458,24963.006313700367
2015-02-12,3308.1730912113917,420,-93.45456445103036,23634.718526760364
2015-02-13,3372.218094164727,430,-1358.128711183252,22444.089382981474
2015-02-14,3435.2638361183344,440,3896.188755132693,27771.45259125103
2015-02-15,3497.291635258235,450,-190.34859185642583,23756.94304340181
2015-02-16,3558.283111408873,460,-637.5156674640185,23380.767443944853
2015-02-17,3618.220191479562,470,-959.5354219989028,23128.68476948066
2015-02-18,3677.085114819927,480,-450.7701966890888,23706.31491813084
2015-02-19,3734.860438482776,490,253.6765453180371,24478.536983800816
2015-02-20,3791.5290423928122,500,2444.6208254376525,26736.149867830463
2015-02-21,3847.074134419689,510,-388.72215211744407,23968.351982302247
2015-02-22,3901.4792553538773,520,-418.7502591652064,24002.728996188675
2015-02-23,3954.728283783886,530,-232.49613697181476,24252.23214681207
2015-02-24,4006.8054408733824,540,726.8178071913228,25273.623248064705
2015-02-25,4057.695295036805,550,29.247743765803882,24636.943038802612
2015-02-26,4107.382766512071,560,-1168.355080900504,23499.027685611567
2015-02-27,4155.853131829039,570,614.1520180316218,25340.005149860663
2015-02-28,4203.09202817239,580,-2485.798960657924,22297.293067514463
2015-03-01,4249.085457637639,590,358.2310850332321,25197.31654267087
2015-03-02,4293.8197913790145,600,-851.8923166715148,24041.9274747075
